"user";"content";"tags"
"yopmail+annonymous@make.org";"Il faut autoriser le travail le dimanche sur l'ensemble du territoire.";"vie au travail|vie au travail"
"yopmail+delphine@make.org";"Il faut adapter les impôts concernant le logement à la situation financière des habitants.";"immobilier"
"yopmail+annonymous@make.org";"Il faut avancer l'âge de la retraite pour les travailleurs ayant des emplois pénibles";"aides"
"yopmail+jean-paul@make.org";"Il faut faciliter les circuits courts et aider les agriculteurs à les développer";"consommation"
"yopmail+mathieu@make.org";"Il faut réactiver le crédit d'impôt pour l'investissement aux énergies solaire";"immobilier|urbanisme"
"yopmail+benoit@make.org";"Il faut créer un système de compte bancaire solidaire pour les SDF avec carte sans contact, etc";"SDF"
"yopmail+annonymous@make.org";"Il faut aider les petits villages à donner des locaux pour réinstaller des petits commerces (épicerie, boulangerie...)";"consommation"
"yopmail+mercedes@make.org";"Il faut pouvoir partir à la retraite quand on veut au prorata de ce que l'on a cotisé";"aides"
"yopmail+annonymous@make.org";"Il faut réserver les HLM proches des villes aux travailleurs pauvres";"logement"
"delphine.bout@gmail.com";"Il faut favoriser la mixité des âges des salariés dans les entreprises, conjuguer les expériences et les points de vue.";"emploi|vie au travail"
"yopmail+annonymous@make.org";"Il faut remonter les plafonds des revenus permettant les aides au logement";"logement"
"yopmail+annonymous@make.org";"Il faut sanctionner sévèrement les villes qui ne respectent pas les quotas de logements sociaux";"logement"
"yopmail+annonymous@make.org";"Il faut que l'Etat renationalise ses fleurons industriels";"emploi"
"yopmail+annonymous@make.org";"Il faut pouvoir prendre quelqu'un à son service en étant âgé(e) contre le gite et le couvert et un salaire inférieur au SMIC";"aides"
"yopmail+annonymous@make.org";"Il faut construire des zones de mixité sociale.";"urbanisme"
"yopmail+florian@make.org";"Il faut avantager fiscalement les entreprises coopératives (où les salariés sont les actionnaires)";"impôts"
"yopmail+sabrina@make.org";"Il faut un meilleur suivi par des conseillers pôle emploi investis qui sauront guider au mieux les sans emploi.";"emploi|emploi"
"yopmail+annonymous@make.org";"Il faut imposer un quota minimum de personnes de moins de 30 ans dans les entreprises";"emploi"
