"user";"content";"tags"
"yopmail+maelys@make.org";"Il faut numériser tous les cours et les rendre accessibles en ligne, du primaire au lycée";"numérique"
"yopmail+robert@make.org";"Il faut refondre toutes les aides relatives à l'éducation en une aide unique (APL, bourse, etc.)";"numérique"
"yopmail+benoit@make.org";"Il faut interdire les portables en classe";"numérique"
"yopmail+remy@make.org";"Il faut apprendre aux enfants à trier et comprendre avec un oeil critique les contenus qu'ils voient sur internet";"numérique"
"yopmail+nadine@make.org";"Il faut un abonnement numérique aux journaux & documentaires pour tous les élèves";"numérique"
"yopmail+lucile@make.org";"Il faut des systèmes de mentorat dans tous les collèges pour que les élèves puissent discuter avec des jeunes actifs";"orientation"
"yopmail+amina@make.org";"Il faut une plateforme nationale avec toutes les informations sur les filières, des vidéos de présentation, etc.";"orientation"
"yopmail+sophia@make.org";"Il faut que les conseillers d'orientation suivent chaque jeune un par un. Se documenter soi-même n'est pas suffisant !";"orientation"
"yopmail+rolland@make.org";"Il faut créer plus de passerelles entre les filières, pour que les jeunes puissent se réorienter ou se spécialiser";"orientation"
"yopmail+dimitri@make.org";"Il faut arrêter de mettre des notes aux enfants !";"évaluation & sélection"
"yopmail+tom@make.org";"Il faut identifer les compétences acquises plutôt que juste mettre des notes qui n'ont pas de sens";"évaluation & sélection"
"yopmail+lola@make.org";"Il faut laisser les élèves redoubler, ce n'est pas en les faisant passer alors qu'ils n'ont pas le niveau qu'on les aide";"évaluation & sélection"
"yopmail+mohamed@make.org";"Il faut apprendre et évaluer les élèves sur des soft skills : travail en groupe, oral, prise en compte des autres, écoute...";"évaluation & sélection"
"yopmail+typhaine@make.org";"Il faut supprimer les filières sélectives comme les prépas et les grandes écoles : tout le monde à la fac !";"évaluation & sélection"
"yopmail+amandine@make.org";"Il faut arrêter de donner de l'argent public aux systèmes privés et sélectifs, investissons dans nos universités !";"évaluation & sélection"
"yopmail+tram@make.org";"Il faut sélectionner les élèves sur dossier à l'entrée de l'université, sinon ils sont tous en échec scolaire ou se réorientent";"évaluation & sélection"
"yopmail+clara@make.org";"Il faut commencer par bien évaluer les matières fondamentales : maths, français, histoire.";"évaluation & sélection"
"yopmail+agnes@make.org";"Il faut supprimer les concours bachotage et commencer à sélectionner sur des aptitudes pratiques avec des mises en situation";"évaluation & sélection"
"yopmail+irene@make.org";"Il faut un bilan psycho-social pour chaque élève de collégien et lycéen";"bien-être & harcèlement"
"yopmail+philip@make.org";"Il faut des cours à l'école sur le harcèlement en ligne et l'usage d'internet";"bien-être & harcèlement"
"yopmail+norman@make.org";"Il faut rendre accessibles les cours de sports, musique, arts... pour tous les élèves";"bien-être & harcèlement"
