"user";"content";"tags"
"gabi.strav@gmail.com";"Il faut garder la paix entre les grandes puissances, arrêter les provocations à l'égard de la Russie. ";"diplomatie|Asie"
"yopmail+annonymous@make.org";"Il faut uniformiser fiscalement l'Europe";"commerce|Union Européenne"
"yopmail+lucie@make.org";"Il faut que les politiques mettent en évidence leur appartenance à un mouvement politique européen avant le national";"ONU & institutions|Union Européenne"
"yopmail+annonymous@make.org";"Il faut solliciter les citoyens européens par référendum sur chaque grande décision européenne.";"ONU & institutions|Union Européenne"
"natura.melie@gmx.fr";"Il faut que des institutions d'experts européens se chargent, tous les cinq ans, de l'inspection de la législation des pays (pas de natif). ";"ONU & institutions|Union Européenne"
"yopmail+annonymous@make.org";"Il faut élire le président de la Commission européenne au suffrage universel.";"ONU & institutions|Union Européenne"
"yopmail+benjamin@make.org";"Il faut mettre en place un service civique au niveau européen, pour créer une solidarité de fait entre jeunes d'Europe";"Union Européenne"
"yopmail+annonymous@make.org";"Il faut intensifier les frappes sur Daesh sans intervenir au sol";"Moyen-Orient|guerres"
"yopmail+annonymous@make.org";"Il faut une politique communautaire sur l'énergie.";"Union Européenne"
"yopmail+anthony@make.org";"Il faut un référendum unique à toute l'UE lorsqu'on doit prendre ensemble des décisions importantes.";"ONU & institutions|Union Européenne"
"yopmail+arnaud@make.org";"Il faut mettre des sanctions économiques au Qatar et à l'Arabie Saoudite";"commerce|Moyen-Orient"
"n.harmand@laposte.net";"Il faut éviter d'avoir un président de la commission européenne qui était un dirigeant ayant organisé l'évasion fiscale vers son propre pays";"Union Européenne"
"yopmail+annonymous@make.org";"Il faut donner beaucoup plus de pouvoir à l’ONU et sans le feu vert des Etats";"ONU & institutions"
"yopmail+maia@make.org";"Il faut opter pour un système bimonétaire au niveau européen afin de regagner une part de souveraineté monétaire";"Union Européenne"
"yopmail+melanie@make.org";"Il faut un ministre de l'Europe au gouvernement pour mieux communiquer sur les bienfaits de l'UE pour la France!";"ONU & institutions|Union Européenne"
"yopmail+thomas@make.org";"Il faut une politique européenne forte sur le domaine de l'immigration pour que l'on se sente protégés par l'Europe";"Union Européenne|immigration"
"yopmail+annonymous@make.org";"Il faut modifier l'objectif de maîtrise de l'inflation assigné à la BCE, et le remplacer par un objectif de croissance.";"commerce|Union Européenne"
"yopmail+annonymous@make.org";"Il faut laisser Bachar EL Assad reprendre le contrôle de la Syrie.";"Moyen-Orient|guerres"
"oursonnoir@outlook.com";"Il faut imposer un prélèvement sur TOUTES les transactions internationales pour rembourser les dettes des pays les plus pauvres.";"développement|commerce|ONU & institutions"
"yopmail+cecile-cahu@make.org";"Il faut encourager le dialogue et les collaborations entre les différents pays";"diplomatie|ONU & institutions"
"yopmail+annonymous@make.org";"Il faut mieux coordonner les dispositifs d’aides humanitaires d’urgence";"humanitaire"
"gabi.strav@gmail.com";"Il faut que les Etats protègent le droit international et sanctionnent enfin Israël. ";"Asie"
"yopmail+annonymous@make.org";"Il faut conclure un partenariat avec la Russie et l'Iran contre Daesh";"diplomatie|terrorisme"
"yopmail+marcel@make.org";"Il faut sortir de l'Europe";"Union Européenne"
"yopmail+jean-christophe@make.org";"Il faut une politique étrangère commune, couplée d'une armée et d'un vote ONU unique [pour l'Union européenne]";"ONU & institutions|ONU & institutions"
"yopmail+annonymous@make.org";"Il faut un SMIC européen.";"commerce|Union Européenne"
"yopmail+aurelien2@make.org";"Il faut arrêter de bombarder la Syrie.";"Moyen-Orient|guerres"
"yopmail+annonymous@make.org";"Il faut harmoniser les structures administratives en Europe (régions ou länder, ..., communes) en leur donnant les mêmes pouvoirs";"ONU & institutions|Union Européenne"
"yopmail+annonymous@make.org";"Il faut soutenir les oppositions locales à Daesh (Kurdes, Armée syrienne libre)";"Moyen-Orient|guerres"
"yopmail+annonymous@make.org";"Il faut harmoniser le droit du travail en Europe";"commerce|Union Européenne"
"yopmail+julien@make.org";"Il faut relancer le projet Européen dans la voie plus concrète du fédéralisme.";"ONU & institutions|Union Européenne"
"yopmail+alexandre@make.org";"Il faut un revenu universel (sans distinction de ressources) dans toute l'union européenne ou ceux qui le désirent";"commerce|Union Européenne"
"yopmail+annonymous@make.org";"Il faut redynamiser le couple franco-allemand.";"diplomatie|Union Européenne"
"yopmail+annonymous@make.org";"Il faut arrêter la multitude de normes européennes.";"Union Européenne"
"yopmail+matthieu@make.org";"Il faut interdire la spéculation sur les matières premières, rendre les terres aux agriculteurs africains et aider à les cultiver.";"développement|Afrique"
