"user";"content";"tags"
"yopmail+annonymous@make.org";"Il faut dépénaliser le cannabis pour faire cesser l’activité des trafiquants";"criminalité"
"yopmail+annonymous@make.org";"Il faut améliorer la relation entre la police et la population en sanctionnant lourdement les abus de policiers.";"police"
"theohhhh@hotmail.fr";"Il faut regrouper les administrations et ne créer qu’un seul dossier administratif par individu pour rendre les procédures plus rapides";"terrorisme|criminalité"
"yopmail+poulain@make.org";"Il faut que l'ensemble des professions et categories sociales soit représenté à l'Assemblée";"exemplarité & transparence"
"yopmail+benoit@make.org";"Il faut changer le système électoral par le système du jugement majoritaire.";"élections"
"yopmail+aurelien2@make.org";"Il faut que les sources de financement des candidats soient transparentes et accessibles en ligne.";"exemplarité & transparence|élections"
"yopmail+helene@make.org";"Il faut favoriser les pouvoirs locaux tant dans les décisions que dans les financements.";"collectivités locales"
"yopmail+bertrand@make.org";"Il faut évaluer de manière systématique les politiques publiques pour rendre des comptes au citoyen";"exemplarité & transparence"
"yopmail+rene@make.org";"Il faut qu'un homme politique qui est battu lors de trois élections ne puisse plus se représenter";"exemplarité & transparence"
"yopmail+romain@make.org";"Il faut une chambre de citoyens tirés au sort pour contrôler les élus.";"participation citoyenne|institutions"
"yopmail+hugo@make.org";"Il faut que les salaires des hauts fonctionnaires de l'Etat et ceux des PDG soient plafonnés.";"élections"
"yopmail+annonymous@make.org";"Il faut établir une police de proximité partout en France, axée sur davantage de prévention";"police"
"yopmail+claude@make.org";"Il faut réduire l'indemnité du Président et le budget de l'Elysée.";"élections"
"yopmail+richard@make.org";"Il faut que celui qui se présente passe une journée complète avec une famille pauvre qui vit dans la précarité";"exemplarité & transparence|exemplarité & transparence"
"yopmail+vincent@make.org";"Il faut redéfinir le statut de lanceur d'alerte et donner plus de protection à ce dernier.";"exemplarité & transparence"
"yopmail+vincent@make.org";"Il faut créer une chambre d'experts pluridisciplinaires comportant des professionnels du privé dans chaque ministère";"exemplarité & transparence|participation citoyenne"
"yopmail+pierre@make.org";"Il faut faire une enquête fiscale préliminaire sur les candidats à la présidentielle";"exemplarité & transparence|élections"
"yopmail+adrien@make.org";"Il faut que le Ministre des Affaires Etrangères soit un ancien diplomate";"institutions"
"yopmail+jerome@make.org";"Il faut prendre en compte le vote blanc";"élections"
"yopmail+jeremy2@make.org";"Il faut que le Président rencontre chaque mois un groupe de 5 citoyens tirés au sort pour échanger.";"participation citoyenne|institutions"
"yopmail+patrick@make.org";"Il faut mettre un âge limite pour faire de la politique";"exemplarité & transparence"
"yopmail+armel@make.org";"Il faut tirer au sort des jurys citoyens qui prendront les décisions après avoir été bien informés et avoir débattu.";"participation citoyenne|exemplarité & transparence"
"yopmail+annonymous@make.org";"Il faut, pour commencer, prendre aux demandeurs d'Asile leurs empeintes, ADN, photo et les centraliser sur fichier Européen";"criminalité"
"yopmail+cfan@make.org";"Il faut une limitation à deux mandats consécutifs de parlementaire ou d'élu local";"exemplarité & transparence"
"yopmail+penelope@make.org";"Il faut accroître le rôle des organisations de la société civile dans les prises de décision";"participation citoyenne"
"yopmail+annonymous@make.org";"Il faut un grand plan d’urbanisme pour les cités";"quartiers sensibles"
"yopmail+erik@make.org";"Il faut instaurer un service civique obligatoire pour tous à 18 ans.";"éducation civique"
"yopmail+denis@make.org";"Il faut qu'une loi soit soutenue par au moins 650 000 citoyens (pétition) pour qu'elle puisse être votée à l'Assemblée.";"participation citoyenne"
"yopmail+louis@make.org";"Il faut que tout citoyen soit capable de voter chaque loi par le biais d'une appli pour smartphone par exemple";"participation citoyenne"
"yopmail+damien@make.org";"Il faut permettre aux citoyens de pouvoir destituer et de juger les élus par pétition";"participation citoyenne"
