"user";"content";"tags"
"yopmail+maelys@make.org";"Il faut mieux valoriser nos forces armées";"militaire"
"yopmail+robert@make.org";"Il faut créer une Europe de la défense avec des forces armées dédiées";"militaire"
"yopmail+benoit@make.org";"Il faut payer correctement les militaires dont le travail est difficile !";"militaire"
"yopmail+remy@make.org";"Il faut arrêter d'envoyer les jeunes patrouiller dans les gares, c'est inutile et c'est mal employer les militaires";"militaire"
"yopmail+nadine@make.org";"Il faut cesser d'entrer d'intervenir à l'étranger quand ça ne nous concerne pas, c'est trop coûteux et dangereux";"militaire"
"yopmail+lucile@make.org";"Il faut augmenter le budget de l'armée, nos infrastructures militaires sont vieillissantes";"militaire"
"yopmail+amina@make.org";"Il faut obliger les partis politiques à présenter des femmes dans des circonscriptions gagnables";"parité"
"yopmail+sophia@make.org";"Il faut rendre obligatoire la parité au gouvernement";"parité"
"yopmail+rolland@make.org";"Il faut la parité à l'Assemblée nationale et au Sénat";"parité"
"yopmail+dimitri@make.org";"Il faut un équilibre hommes femmes à la tête de toute administration française";"parité"
"yopmail+tom@make.org";"Il faut une loi sur des quotas en politique";"parité"
"yopmail+lola@make.org";"Il faut qu'on prenne des mesures contre les attitudes sexistes en politique : leurs auteurs doivent démissionner";"parité"
"yopmail+mohamed@make.org";"Il faut retirer les financements publics aux partis politiques qui ne respectent pas la parité dans leur direction";"parité"
"yopmail+typhaine@make.org";"Il faut réimplanter des services publics dans les zones défavorisées";"quartiers sensibles"
"yopmail+tram@make.org";"Il faut que les jeunes des banlieues aient plus accès à la culture grâce à l'école";"quartiers sensibles"
"yopmail+clara@make.org";"Il faut sensibiliser les jeunes des quartiers à aller voter";"quartiers sensibles"
"yopmail+agnes@make.org";"Il faut des politiques d'urbanisme très forte pour casser les barres et les dalles des banlieues et recréer de vrais quartiers";"quartiers sensibles"
"yopmail+irene@make.org";"Il faut lutter contre la radicalisation dans les banlieues";"quartiers sensibles"
"yopmail+philip@make.org";"Il faut instaurer des quotas pour permettre aux jeunes de banlieue d'entrer massivement dans les universités, grandes écoles, etc.";"quartiers sensibles"
