"user";"content";"tags"
"yopmail+maelys@make.org";"Il faut que l'État soutienne plus les associations de terrain qui font son travail au quotidien !";"associatif"
"yopmail+robert@make.org";"Il faut instaurer un stage de bénévolat obligatoire pour tous les jeunes dans des structures associatives d'aide aux plus démunis";"associatif"
"yopmail+benoit@make.org";"Il faut mieux inclure les associations dans les choix politiques, ce sont elles qui ont l'expérience de terrain";"associatif"
"yopmail+remy@make.org";"Il faut construire plus de crèches";"famille"
"yopmail+nadine@make.org";"Il faut revoir le quotient familial : ce n'est pas parce qu'on a beaucoup d'enfants qu'on ne doit pas payer d'impôts quand on est riche";"famille"
"yopmail+lucile@make.org";"Il faut ouvrir des services d'aide à la parentalité pour ne pas laisser les jeunes parents sans conseils";"famille"
"yopmail+amina@make.org";"Il faut créer des accueils à l'école tôt le matin et tard le soir, pour les parents qui n'ont pas les moyens d'avoir une nounou.";"famille"
"yopmail+sophia@make.org";"Il faut créer des structures pour accueillir les enfants souffrant de handicap que l'éducation nationale n'a pas les moyens de gérer";"handicap"
"yopmail+rolland@make.org";"Il faut adapter toutes les oeuvres audiovisuelles au handicap";"handicap"
"yopmail+dimitri@make.org";"Il faut que tous les métros soient accessibles aux personnes à mobilité réduite";"handicap"
"yopmail+tom@make.org";"Il faut intégrer les enfants handicapés dans les classes de ""valides"" avec des personnels dédiés pour les aider";"handicap"
"yopmail+lola@make.org";"Il faut pouvoir signaler la dyslexie lors des concours ou partiels et pas seulement avoir un tiers-temps qui ne sert pas à grand chose";"handicap"
"yopmail+mohamed@make.org";"Il faut inclure les handicapés mentaux dans la culture, les musées, la musique... comme les handicapés physiques aux JO";"handicap"
"yopmail+typhaine@make.org";"Il faut apprendre à l'école aux enfants comment réagir et inclure les personnes handicapées";"handicap"
"yopmail+amandine@make.org";"Il faut prendre en compte les impératifs du handicap dans chaque produit commercial conçu";"handicap"
"yopmail+tram@make.org";"Il faut construire des maisons de santé sur tout le territoire pour regrouper les services médicaux et aider les médecins à s'installer";"santé"
"yopmail+clara@make.org";"Il faut mieux payer les personnels d'aide dans les hôpitaux : aide-soignants, infirmiers, sage femme";"santé"
"yopmail+agnes@make.org";"Il faut un bilan médical gratuit tous les ans pour les soins de base : médecin généraliste, dentiste, ophtalmo";"santé"
"yopmail+irene@make.org";"Il faut interdire les perturbateurs endocriniens dans tous les produits consommables, les emballages, les cosmétiques";"santé"
"yopmail+philip@make.org";"Il faut mieux rembourser les lunettes !";"modèle social"
"yopmail+norman@make.org";"Il faut créer un cinquième risque pour prendre en charge la dépendance des personnes âgées";"modèle social"
"yopmail+emilie@make.org";"Il faut que l'État contrôle les EHPAD : on ne peut pas laisser les personnes âgées dans des mouroirs qui enrichissent des actionnaires";"modèle social"
"yopmail+violette@make.org";"Il faut fusionner les caisses d'assurance sociale et les différents régimes pour avoir une administration unique";"modèle social"
"yopmail+david@make.org";"Il faut plus de progressivité dans les cotisations sociales : que chacun paie au prorata de ce qu'il gagne. Stop la CSG";"modèle social"
"yopmail+lionel@make.org";"Il faut une retraite par capitalisation pour relancer notre économie";"modèle social"
"yopmail+yasmine@make.org";"Il faut des indemnités chômages dégressives pour inciter les chômeurs à travailler";"modèle social"
"yopmail+youssef@make.org";"Il faut augmenter l'âge de départ en retraite car on vit plus longtemps";"modèle social"
"yopmail+oussama@make.org";"Il faut construire des outils de pilotage de la performance pour qu'on soit sûrs que l'argent de la sécu est bien utilisé !";"modèle social"
"yopmail+rachel@make.org";"Il faut interdire les publicités qui utilisent le corps de femmes pour vendre des choses qui n'ont rien à voir !";"égalité femmes hommes"
"yopmail+sacha@make.org";"Il faut créer une plateforme de mise en relation des victimes de harcèlement sexuel";"égalité femmes hommes"
"yopmail+gregory@make.org";"Il faut obliger les entreprises privées à avoir la parité dans leur conseil d'administration";"égalité femmes hommes"
"yopmail+alice@make.org";"Il faut encourager les femmes à aller dans certaines filières ""masculines"" : écoles d'ingénieurs, informatique, bâtiment...";"égalité femmes hommes"
"yopmail+yann@make.org";"Il faut une sensibilisation à l'égalité entre les genres dès l'école";"égalité femmes hommes"
"yopmail+gwennaelle@make.org";"Il faut des cours d'éducation sexuelle au collège qui inculquent des rapports sexuels équilibrés";"égalité femmes hommes"
"yopmail+jessica@make.org";"Il faut mettre en place le CV anonyme : stop aux discriminations hommes femmes";"égalité femmes hommes"
"yopmail+corentin@make.org";"Il faut un congé paternité obligatoire, aussi long que le congé maternité";"égalité femmes hommes"
"yopmail+mario@make.org";"Il faut rendre public les noms des entreprises où il y a de forts écarts de salaires entre hommes et femmes";"égalité femmes hommes"
"yopmail+louis@make.org";"Il faut agir lorsqu'on est témoins d'insultes sexistes dans la rue, au bureau, partout";"égalité femmes hommes"
