"username";"content";"tags";"country";"language"
"yopmail+marie@make.org";"Il faut  mieux prendre en compte le rôle et la souffrance des familles qui doivent s'occuper de leurs proches";"";"FR";"fr"
"yopmail+michele@make.org";"Il faut créer des aides publiques équitables entre les Français, en fonction de leurs revenus, pour pouvoir tous mieux prendre soin de nos parents";"";"FR";"fr"
"yopmail+pierre@make.org";"il faut simplifier le parcours des personnes âgées en réduisant le nombre d'interlocuteurs  (information, santé, services etc.)";"";"FR";"fr"
"yopmail+kevin@make.org";"Il faut une bonne information pour que les personnes âgées choisissent la meilleure solution de prise en charge en connaissance de cause";"";"FR";"fr"
"yopmail+raissa@make.org";"Il faut développer des solutions intergénérationnelles qui favorisent le lien social";"";"FR";"fr"
"yopmail+nicolas@make.org";"Il faut prendre en charge collectivement nos aînés, qui sont notre mémoire, ne pas compter seulement sur une prise en charge publique";"";"FR";"fr"
"yopmail+celine@make.org";"Il faut promouvoir les services d’aide numérique et les objets connectés pour aider les personnes âgées (commande vocale, maison connectée…)";"";"FR";"fr"
"yopmail+amine@make.org";"Il faut que l'hôpital prenne en considération les spécificités des personnes âgées, par exemple au travers d'un parcours adapté";"";"FR";"fr"
"yopmail+alexandra@make.org";"Il faut rendre plus attractif les métiers de l'aide et du soin aux personnes âgées";"";"FR";"fr"
"yopmail+loris@make.org";"Il faut lutter contre l'isolement des personnes âgées en développant des réseaux sociaux de proximité / d'entraide pour les personnes âgées";"";"FR";"fr"
"yopmail+karine@make.org";"Il faut une mobilisation collective où les familles ont un rôle à jouer";"";"FR";"fr"
"yopmail+matteo@make.org";"Il faut faire en sorte que les personnes âgées restent le plus lontemps possible à domicile";"";"FR";"fr"
"yopmail+solene@make.org";"Il faut dès maintenant préparer la très forte croissance du nombre de personnes âgées en France";"";"FR";"fr"
