"username";"content";"country";"language";"tags"
"yopmail+sandrine@make.org";"Il faut une application de mise en relation des lycéens avec des étudiants pour les aider à choisir leur filière";"FR";"fr";"orientation"|"numerique"|"cible-individus"|"prevention"
"yopmail+corinne@make.org";"Il faut équiper chaque jeune d'un ordinateur pour ses études";"FR";"fr";"egalite-des-chances|aides-subventions|cible-individus|action--publique|prevention"
"yopmail+julie@make.org";"Il faut que tous les lycées puissent faire de l'immersion pour découvrir 4 métiers inconnus";"FR";"fr";"orientation|education|cible-individus|action--publique|prevention"
"yopmail+lionel@make.org";"Il faut généraliser l'apprentissage dans toutes les filières pour revaloriser ce mode de formation et renforcer l'insertion des jeunes";"FR";"fr";"formation|education|cible-individus|action--publique|action-des-entreprises"
"yopmail+odile@make.org";"Il faut plus d'installations pour accueillir les personnes handicapées dans les écoles, collèges, lycées, universités...";"FR";"fr";"handicap|couverture-sociale|cible-individus|action--publique|curation"
"yopmail+nicolas@make.org";"Il faut plus de restaurants universitaires accessibles pour les étudiants";"FR";"fr";"sante|aides-subventions|cible-individus|action--publique|prevention"
"yopmail+jamel@make.org";"Il faut que les bibliothèques soient ouvertes tard le soir et le weekend";"FR";"fr";"culture|formation|regulation|cible-individus|action--publique"
"yopmail+laurene@make.org";"Il faut que les entreprises qui embauchent des jeunes en CDI payent moins d'impôts";"FR";"fr";"emploi|fiscalite|cible-entreprises|action--publique|curation"
"yopmail+françois@make.org";"Il faut que les devoirs soient effectués en classe de soutien scolaire pour éviter de creuser les écarts.";"FR";"fr";"egalite-des-chances|education|cible-individus|action--publique|curation"
"yopmail+aissatou@make.org";"Il faut autoriser les cahiers / livres / notes pendant les examens pour tester la compréhension plutôt que la mémoire.";"FR";"fr";"formation|education|cible-individus|action--publique|prevention"
"yopmail+eric@make.org";"Il faut généraliser les MOOC gratuits et les relier à de vrais diplômes !";"FR";"fr";"formation|numerique|cible-individus|action--publique|curation"
"yopmail+sylvain@make.org";"Il faut créer une grande plateforme d'orientation avec tests de personnalité, témoignages sur les métiers, offres de stage, conseillers...";"FR";"fr";"orientation|numerique|cible-individus|curation"
