"username";"content";"tags";"country";"language"
"yopmail+marie@make.org";"Il faut mieux accompagner les agents sur leur parcours professionnel";"RH";"FR";"fr"
"yopmail+michèle@make.org";"Il faut améliorer les compétences managériales";"RH";"FR";"fr"
"yopmail+pierre@make.org";"Il faut considérer l'État comme un employeur unique";"RH";"FR";"fr"
"yopmail+kévin@make.org";"Il faut valoriser la mobilité";"RH";"FR";"fr"
"yopmail+raïssa@make.org";"Il faut unifier les régimes indemnitaires, de promotion et de mobilité";"RH";"FR";"fr"
"yopmail+nicolas@make.org";"Il faut sélectionner des personnes aptes à diriger de façon constructive et pas uniquement autoritaire";"RH";"FR";"fr"
"yopmail+céline@make.org";"Il faut des gestionnaires RH qualifiés";"RH";"FR";"fr"
"yopmail+amine@make.org";"Il faut supprimer un ou plusieurs échelons hiérarchiques en administration centrale";"RH";"FR";"fr"
"yopmail+alexandra@make.org";"Il faut mettre en place une rémunération au mérite sur des critères objectifs";"RH";"FR";"fr"
"yopmail+loris@make.org";"Il faut rendre la mobilité obligatoire (a minima tous les 5 ans)";"RH";"FR";"fr"
"yopmail+karine@make.org";"Il faut mettre en place un intéressement individuel";"RH";"FR";"fr"
"yopmail+mattéo@make.org";"Il faut développer les usages en mobilité";"RH";"FR";"fr"
"yopmail+marie@make.org";"Il faut faciliter le télétravail";"quotidien";"FR";"fr"
"yopmail+michèle@make.org";"Il faut des modalités de travail plus participatives";"quotidien";"FR";"fr"
"yopmail+pierre@make.org";"Il faut espacer davantage les réformes";"macro-gestion";"FR";"fr"
"yopmail+kévin@make.org";"Il faut mieux communiquer sur les services rendus";"macro-gestion";"FR";"fr"
"yopmail+raïssa@make.org";"Il faut fusionner les corps";"macro-gestion";"FR";"fr"
"yopmail+nicolas@make.org";"Il faut développer les événements de type hackathon";"innovation";"FR";"fr"
"yopmail+céline@make.org";"Il faut un dossier numérique unique pour chaque agent";"innovation";"FR";"fr"
"yopmail+amine@make.org";"Il faut laisser les administrations libres de s'organiser comme elles le souhaitent";"organisation";"FR";"fr"
"yopmail+alexandra@make.org";"Il faut un report automatique des crédits inemployés, sans limite de temps";"budgétaire/comptable";"FR";"fr"
"yopmail+loris@make.org";"Il faut supprimer le principe du gel des crédits";"budgétaire/comptable";"FR";"fr"
"yopmail+karine@make.org";"Il faut supprimer les demandes de documents papier aux usagers";"process";"FR";"fr"
