"username";"content";"tags";"country";"language"
"yopmail+beate@make.org";"Wir müssen stark in die Ausbildung für digitale Berufe investieren.";"Ausbildung";"DE";"de"
"yopmail+sebastian@make.org";"Wir müssen europäische Inkubatoren schaffen, die kleinen digitalen Unternehmen helfen, von Anfang an international zu denken.";"Inkubation und Entwicklung";"DE";"de"
"yopmail+jonas@make.org";"Wir müssen die Steuerhinterziehung durch die GAFA bekämpfen, um finanzielle Mittel für europäische Neugründungen zurückzuerhalten.";"Finanzierung";"DE";"de"
"yopmail+christian@make.org";"Wir müssen die Mobilität der digitalen Talente in Europa, insbesondere der Entwickler, fördern. ";"international";"DE";"de"
"yopmail+julia@make.org";"Wir müssen Management-Trainingsprogramme entwickeln, die auf Start-ups und digitale Unternehmen spezialisiert sind.";"Ausbildung";"DE";"de"
"yopmail+asja@make.org";"Wir müssen dafür sorgen, dass zwischen Start-ups und Großunternehmen ein Skills-Sponsoring eingerichtet wird: jeder kann von dem anderen lernen!";"Ausbildung";"DE";"de"
"yopmail+luca@make.org";"Wir müssen dafür sorgen, dass Banken es innovativen und Start-up-Unternehmen erleichtern, Kredite zu erhalten.";"Finanzierung";"DE";"de"
"yopmail+eva@make.org";"Wir müssen eine wirklich offene Datenpolitik haben.";"open data";"DE";"de"
"yopmail+anja@make.org";"Wir müssen an einer besseren Hervorhebung bestehender europäischer Projekte arbeiten.";"Attraktivität";"DE";"de"
"yopmail+andrea@make.org";"Wir müssen die Finanzierung in Europa so umlenken, dass nicht nur Typ A, sondern auch Typ B und C Themen finanziert werden.";"Finanzierung";"DE";"de"
"yopmail+tomas@make.org";"Wir müssen in die digitale Infrastruktur und die Cloud investieren.";"Forschung und Innovation";"DE";"de"
"yopmail+alexander@make.org";"Wir müssen mehr echte europäische Veranstaltungen schaffen, wie beispielsweise den Websummit in Lissabon (der bisher einzige).";"Attraktivität";"DE";"de"
"yopmail+martin@make.org";"Wir müssen paneuropäische Risikokapitalinvestitionen und -entwicklungen fördern.";"Finanzierung";"DE";"de"
"yopmail+nils@make.org";"Wir müssen eine europäische DARPA-ähnliche Agentur in Europa schaffen.";"Vorrichtungskoordination";"DE";"de"
"yopmail+ida@make.org";"Wir müssen die Unternehmensgründung durch finanzielle Anreize wie den (bezahlten) Urlaub fördern.";"Attraktivität";"DE";"de"
"yopmail+khatarina@make.org";"Wir müssen dafür sorgen, dass sich die Berufsausbildung an der Unternehmensgründung orientiert.";"Ausbildung";"DE";"de"
"yopmail+daniela@make.org";"Wir müssen dafür sorgen, dass die Finanzierung von Menschenmassen gefördert wird, indem spezielle, öffentliche oder private Plattformen geschaffen werden.";"Finanzierung";"DE";"de"
