"username";"content";"tags";"country";"language"
"yopmail+maélys@make.org";"Il faut simplifier les règles administratives pour les startups numériques et data";"";"FR";"fr"
"yopmail+benoît@make.org";"Il faut investir fortement dans les formations aux métiers du numérique";"";"FR";"fr"
"yopmail+rémy@make.org";"Il faut créer des incubateurs européens pour aider les petites entreprises du numérique à penser l'international dès leur création";"";"FR";"fr"
"yopmail+nadine@make.org";"Il faut lutter contre l'évasion fiscale des GAFA pour récupérer des moyens financiers destinés aux jeunes pousses européennes";"";"FR";"fr"
"yopmail+amina@make.org";"Il faut faciliter la mobilité des talents du numérique en Europe, notamment les développeurs ";"";"FR";"fr"
"yopmail+sophia@make.org";"Il faut faciliter l'arrivée d'ingénieurs étrangers dans ce domaine pour qu'ils transfèrent leurs compétences aux entreprises européennes";"";"FR";"fr"
"yopmail+rolland@make.org";"Il faut créer des filières de formation en management spécialisées dans les startups et entreprises du numérique";"";"FR";"fr"
"yopmail+dimitri@make.org";"Il faut des mécénats de compétences entre les jeunes pousses et les grandes entreprises : chacun peut apprendre de l'autre !";"";"FR";"fr"
"yopmail+lola@make.org";"Il faut que les banques prêtent plus facilement aux entreprises innovantes et startups";"";"FR";"fr"
"yopmail+philip@make.org";"Il faut dédramatiser l'échec pour un entrepreneur comme cela existe dans la culture américaine : il faut avoir échoué pour demain réussir";"";"FR";"fr"
"yopmail+marie@make.org";"Il faut avoir une vraie politique de l'open data";"";"FR";"fr"
"yopmail+michele@make.org";"Il faut une meilleure mise en avant des projets européens qui existent déjà";"";"FR";"fr"
"yopmail+pierre@make.org";"Il faut réorienter les financements en Europe pour ne pas financer uniquement les levées de type A mais aussi B et C";"";"FR";"fr"
"yopmail+kevin@make.org";"Il faut investir dans les infrastructures numériques et le cloud";"";"FR";"fr"
"yopmail+raissa@make.org";"Il faut créer plus d'évènements réellement européens, type Websummit à Lisbonne (le seul à date)";"";"FR";"fr"
"yopmail+nicolas@make.org";"Il faut créer un label type FrenchTech au niveau européen pour donner de la visibilité aux entreprises européennes au niveau mondial";"";"FR";"fr"
"yopmail+celine@make.org";"Il faut favoriser l'investissement et le développement de venture capital pan-européens";"";"FR";"fr"
"yopmail+amine@make.org";"Il faut créer une agence européenne type DARPA en Europe";"";"FR";"fr"
"yopmail+alexandra@make.org";"Il faut favoriser la création d'entreprise via des incitations financières du type congé (payé) pour entreprendre";"";"FR";"fr"
"yopmail+loris@make.org";"Il faut orienter la formation professionnelle vers la création d'entreprise";"";"FR";"fr"
"yopmail+karine@make.org";"Il faut favoriser le crowd-funding par la création de plateformes dédiées, publiques ou privées";"";"FR";"fr"
