"username";"content";"tags";"country";"language"
"yopmail+marie@make.org";"Il faut une application de mise en relation des lycéens avec des étudiants pour les aider à choisir leur filière";"";"FR";"fr"
"yopmail+michele@make.org";"Il faut systématiser la location des chambres libres chez l'habitant pour les étudiants ou jeunes actifs";"";"FR";"fr"
"yopmail+pierre@make.org";"Il faut que tous les lycées puissent faire de l'immersion pour découvrir 4 métiers inconnus";"";"FR";"fr"
"yopmail+kevin@make.org";"Il faut généraliser l'apprentissage dans toutes les filières pour revaloriser ce mode de formation et renforcer l'insertion des jeunes";"";"FR";"fr"
"yopmail+raissa@make.org";"Il faut plus d'installations pour accueillir les personnes handicapées dans les écoles, collèges, lycées, universités...";"";"FR";"fr"
"yopmail+nicolas@make.org";"Il faut plus de restaurants universitaires accessibles pour les étudiants";"";"FR";"fr"
"yopmail+celine@make.org";"Il faut que les bibliothèques et médiathèques soient ouvertes tard le soir et le weekend";"";"FR";"fr"
"yopmail+amine@make.org";"Il faut des tarifs très réduits dans tous les musées, cinémas, clubs de sport, pour les jeunes";"";"FR";"fr"
"yopmail+alexandra@make.org";"Il faut que les devoirs soient effectués en classe de soutien scolaire pour éviter de creuser les écarts.";"";"FR";"fr"
"yopmail+loris@make.org";"Il faut autoriser les cahiers / livres / notes pendant les examens pour tester la compréhension plutôt que la mémoire.";"";"FR";"fr"
"yopmail+karine@make.org";"Il faut généraliser les MOOC gratuits et les relier à de vrais diplômes !";"";"FR";"fr"
"yopmail+matteo@make.org";"Il faut créer une grande plateforme d'orientation avec tests de personnalité, témoignages sur les métiers, offres de stage, conseillers...";"";"FR";"fr"
"yopmail+solene@make.org";"Il faut un bilan de santé par an gratuit pour les jeunes en situation de précarité";"";"FR";"fr"
