"username";"content";"tags";"country";"language"
"yopmail+maelys@make.org";"Il faut une oeuvre d'art en bas de chaque nouveau bâtiment";"";"FR";"fr"
"yopmail+robert@make.org";"Il faut des immeubles d'habitations qui intègrent des locaux pour les vélos";"";"FR";"fr"
"yopmail+benoit@make.org";"Il faut encourager la construction de logements éco-responsables";"";"FR";"fr"
"yopmail+remy@make.org";"Il faut faire vivre les nouveaux quartiers construits en y intégrant des locaux pour les commerces de proximité, les services publics, etc.";"";"FR";"fr"
"yopmail+nadine@make.org";"Il faut prévoir plus de locaux pour les services publics mutualisés comme les maisons de santé";"";"FR";"fr"
"yopmail+lucile@make.org";"Il faut intégrer plus de services connectés";"";"FR";"fr"
"yopmail+amina@make.org";"Il faut réfléchir à de nouveaux dispositifs de réduction du bruit en ville (ex : murs végétalisés)";"";"FR";"fr"
"yopmail+sophia@make.org";"Il faut prévoir des potagers partagés dans les copropriétés, sur les toits, etc.";"";"FR";"fr"
"yopmail+rolland@make.org";"Il faut créer plus de lieux et de moyens de rencontre entre les habitants grâce à l'urbanisme";"";"FR";"fr"
"yopmail+dimitri@make.org";"Il faut inciter fiscalement à la rénovation thermique des bâtiments";"";"FR";"fr"
"yopmail+tom@make.org";"Il faut faire connaître et valoriser les métiers du bâtiment";"";"FR";"fr"
"yopmail+lola@make.org";"Il faut détruire toutes les barres et les dalles des cités";"";"FR";"fr"
"yopmail+mohamed@make.org";"Il faut investir dans les innovations énergétiques pour permettre à chaque ville de produire sa propre électricité";"";"FR";"fr"
"yopmail+typhaine@make.org";"Il faut relancer le secteur de la construction ";"";"FR";"fr"
"yopmail+amandine@make.org";"Il faut simplifier les règles de l'urbanisme, s'attaquer à la lourdeur des contraintes et les procédures";"";"FR";"fr"
"yopmail+tram@make.org";"Il faut en finir avec les limitations en matière de hauteur d'immeubles, pour densifier les villes et limiter l'étalement urbain";"";"FR";"fr"
"yopmail+clara@make.org";"Il faut mieux exploiter les sous-terrains et les toits terrasses des immeubles pour gagner en surfaces utiles";"";"FR";"fr"
"yopmail+agnes@make.org";"Il faut penser l'autosuffisance alimentaire des villes en réintroduisant des sites de culture et de production urbains";"";"FR";"fr"
"yopmail+irene@make.org";"Il faut mieux adapter les lieux publics et les bâtiments aux personnes handicapées";"";"FR";"fr"
"yopmail+philip@make.org";"Il faut inventer des moyens de rendre les villes plus propres";"";"FR";"fr"
